System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.2579,1879.26,1701.64
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4790,1882.26,637.39
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.6691,1185.49,357.33
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.8071,1195.93,292.47
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.1524,1178.70,210.36
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.3449,1179.18,167.13
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.5714,1195.73,69.35
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,3.6626,577.72,58.29
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,7.6984,796.79,29.11
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,21.6257,356.13,9.84
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.2756,1113.00,2620.08
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.3712,577.76,1767.88
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.4803,215.62,1399.09
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.6777,257.18,891.25
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.8687,285.09,678.01
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.1324,292.54,475.40
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.7318,294.94,327.07
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.4783,292.84,206.14
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,4.6772,275.76,108.52
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,21.0285,285.72,22.34
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.3188,1139.78,2712.98
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.5126,664.53,1498.81
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.7259,323.88,1008.04
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,1.0584,357.80,668.69
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.3378,381.23,494.13
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.5342,373.51,418.37
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.2335,369.05,287.43
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,4.0182,364.79,162.39
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,7.9681,344.72,71.70
baseline,BASELINE,nofile,placebo,measures/in/original_07.mkv,42.0610,354.53,14.92
baseline,BASELINE,nofile,ultrafast,measures/in/original_03.mkv,0.3177,3920.98,2094.30
baseline,BASELINE,nofile,superfast,measures/in/original_03.mkv,0.5977,2279.32,936.14
baseline,BASELINE,nofile,veryfast,measures/in/original_03.mkv,1.1058,2410.79,486.04
baseline,BASELINE,nofile,faster,measures/in/original_03.mkv,1.6507,2465.54,314.71
baseline,BASELINE,nofile,fast,measures/in/original_03.mkv,2.2865,2478.86,227.21
baseline,BASELINE,nofile,medium,measures/in/original_03.mkv,2.7935,2460.31,182.19
baseline,BASELINE,nofile,slow,measures/in/original_03.mkv,5.0742,2454.72,93.52
baseline,BASELINE,nofile,slower,measures/in/original_03.mkv,10.3760,2445.12,46.82
baseline,BASELINE,nofile,veryslow,measures/in/original_03.mkv,22.2878,2323.47,22.33
baseline,BASELINE,nofile,placebo,measures/in/original_03.mkv,61.8365,2326.55,7.89
baseline,BASELINE,nofile,ultrafast,measures/in/original_05.mkv,0.3252,2217.21,2162.90
baseline,BASELINE,nofile,superfast,measures/in/original_05.mkv,0.5864,1452.48,993.00
baseline,BASELINE,nofile,veryfast,measures/in/original_05.mkv,1.0685,1178.82,529.61
baseline,BASELINE,nofile,faster,measures/in/original_05.mkv,1.4326,1221.03,383.30
baseline,BASELINE,nofile,fast,measures/in/original_05.mkv,1.9237,1239.66,272.59
baseline,BASELINE,nofile,medium,measures/in/original_05.mkv,2.4434,1197.77,219.61
baseline,BASELINE,nofile,slow,measures/in/original_05.mkv,3.7506,1186.29,140.48
baseline,BASELINE,nofile,slower,measures/in/original_05.mkv,6.7019,1170.67,74.93
baseline,BASELINE,nofile,veryslow,measures/in/original_05.mkv,13.2892,1123.99,40.68
baseline,BASELINE,nofile,placebo,measures/in/original_05.mkv,39.4505,1131.56,12.62
baseline,BASELINE,nofile,ultrafast,measures/in/original_02.mkv,0.2834,698.97,3361.89
baseline,BASELINE,nofile,superfast,measures/in/original_02.mkv,0.4389,511.41,1811.38
baseline,BASELINE,nofile,veryfast,measures/in/original_02.mkv,0.6078,262.90,1124.00
baseline,BASELINE,nofile,faster,measures/in/original_02.mkv,0.9349,309.50,729.37
baseline,BASELINE,nofile,fast,measures/in/original_02.mkv,1.2822,347.19,517.08
baseline,BASELINE,nofile,medium,measures/in/original_02.mkv,1.5321,318.83,410.18
baseline,BASELINE,nofile,slow,measures/in/original_02.mkv,2.2977,302.13,284.26
baseline,BASELINE,nofile,slower,measures/in/original_02.mkv,3.7256,307.46,168.29
baseline,BASELINE,nofile,veryslow,measures/in/original_02.mkv,7.8003,274.33,78.45
baseline,BASELINE,nofile,placebo,measures/in/original_02.mkv,24.4454,282.93,25.72
baseline,BASELINE,nofile,ultrafast,measures/in/original_06.mkv,0.1355,416.18,1888.75
baseline,BASELINE,nofile,superfast,measures/in/original_06.mkv,0.1629,140.00,1868.81
baseline,BASELINE,nofile,veryfast,measures/in/original_06.mkv,0.1567,50.17,1576.02
baseline,BASELINE,nofile,faster,measures/in/original_06.mkv,0.1970,71.18,1024.90
baseline,BASELINE,nofile,fast,measures/in/original_06.mkv,0.2467,80.21,817.71
baseline,BASELINE,nofile,medium,measures/in/original_06.mkv,0.2717,86.74,608.05
baseline,BASELINE,nofile,slow,measures/in/original_06.mkv,0.3850,87.63,397.68
baseline,BASELINE,nofile,slower,measures/in/original_06.mkv,0.4648,81.69,305.63
baseline,BASELINE,nofile,veryslow,measures/in/original_06.mkv,0.8375,69.89,156.59
baseline,BASELINE,nofile,placebo,measures/in/original_06.mkv,3.0531,71.20,40.45
baseline,BASELINE,nofile,ultrafast,measures/in/original_08.mkv,0.3792,3016.81,1706.04
baseline,BASELINE,nofile,superfast,measures/in/original_08.mkv,0.7429,1825.88,796.08
baseline,BASELINE,nofile,veryfast,measures/in/original_08.mkv,1.1792,1613.72,473.80
baseline,BASELINE,nofile,faster,measures/in/original_08.mkv,1.6310,1686.97,324.21
baseline,BASELINE,nofile,fast,measures/in/original_08.mkv,2.3933,1585.01,223.63
baseline,BASELINE,nofile,medium,measures/in/original_08.mkv,2.9251,1574.94,182.27
baseline,BASELINE,nofile,slow,measures/in/original_08.mkv,4.6879,1535.36,111.85
baseline,BASELINE,nofile,slower,measures/in/original_08.mkv,9.4603,1564.86,56.35
baseline,BASELINE,nofile,veryslow,measures/in/original_08.mkv,17.1801,1535.08,29.00
baseline,BASELINE,nofile,placebo,measures/in/original_08.mkv,74.9103,1485.87,6.55
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_01.mkv,0.2383,1879.26,1265.39
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_04.mkv,0.2913,1113.00,2556.30
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_07.mkv,0.3302,1139.78,2638.37
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_03.mkv,0.3265,3920.98,2082.35
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_05.mkv,0.3322,2217.21,1960.62
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_02.mkv,0.2817,698.97,3447.17
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_06.mkv,0.1310,416.18,2066.61
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_08.mkv,0.3861,3016.81,1861.59
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_01.mkv,0.5655,1000.18,425.91
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_04.mkv,0.4394,157.25,1471.45
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_07.mkv,0.6582,261.15,1121.12
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_03.mkv,1.0238,3030.37,521.89
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_05.mkv,0.9283,1154.41,598.61
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_02.mkv,0.5518,142.70,1300.54
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_06.mkv,0.1583,44.67,1551.21
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_08.mkv,0.9732,1716.46,557.34
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_01.mkv,0.2624,1879.26,1453.60
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_04.mkv,0.3047,1113.00,2602.58
