System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.3511,1879.26,1362.45
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4830,1882.26,594.50
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.7081,1185.49,366.17
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.8554,1195.93,290.25
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.3277,1178.70,205.30
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.4905,1179.18,161.85
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.6460,1195.73,59.11
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,4.2197,577.72,56.33
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,7.4559,796.79,28.52
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,21.6849,356.13,9.73
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.4727,1113.00,2974.74
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.3575,577.76,1827.81
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.4511,215.62,1429.04
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.6186,257.18,888.62
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.9079,285.09,673.43
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.1421,292.54,488.21
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.7016,294.94,320.99
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.5507,292.84,207.67
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,4.6901,275.76,109.16
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,21.7005,285.72,23.34
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.3574,1139.78,2712.78
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.4881,664.53,1639.69
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.6738,323.88,912.66
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,1.0162,357.80,675.86
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.3192,381.23,508.33
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.5962,373.51,412.13
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.2702,369.05,284.66
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,3.8880,364.79,158.93
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,8.1472,344.72,74.69
baseline,BASELINE,nofile,placebo,measures/in/original_07.mkv,40.2604,354.53,15.01
baseline,BASELINE,nofile,ultrafast,measures/in/original_03.mkv,0.3647,3920.98,2056.86
baseline,BASELINE,nofile,superfast,measures/in/original_03.mkv,0.6281,2279.32,882.76
baseline,BASELINE,nofile,veryfast,measures/in/original_03.mkv,1.1422,2410.79,471.36
baseline,BASELINE,nofile,faster,measures/in/original_03.mkv,1.7171,2465.54,280.27
baseline,BASELINE,nofile,fast,measures/in/original_03.mkv,2.3160,2478.86,210.93
baseline,BASELINE,nofile,medium,measures/in/original_03.mkv,3.0194,2460.31,162.16
baseline,BASELINE,nofile,slow,measures/in/original_03.mkv,5.5987,2454.72,85.32
baseline,BASELINE,nofile,slower,measures/in/original_03.mkv,10.7289,2445.12,46.72
baseline,BASELINE,nofile,veryslow,measures/in/original_03.mkv,21.7569,2323.47,21.61
baseline,BASELINE,nofile,placebo,measures/in/original_03.mkv,63.3108,2326.55,7.20
baseline,BASELINE,nofile,ultrafast,measures/in/original_05.mkv,0.5666,2217.21,2127.40
baseline,BASELINE,nofile,superfast,measures/in/original_05.mkv,0.7117,1452.48,986.98
baseline,BASELINE,nofile,veryfast,measures/in/original_05.mkv,1.0973,1178.82,506.66
baseline,BASELINE,nofile,faster,measures/in/original_05.mkv,1.5123,1221.03,356.75
baseline,BASELINE,nofile,fast,measures/in/original_05.mkv,2.2218,1239.66,275.90
baseline,BASELINE,nofile,medium,measures/in/original_05.mkv,2.4572,1197.77,220.90
baseline,BASELINE,nofile,slow,measures/in/original_05.mkv,3.8103,1186.29,135.38
baseline,BASELINE,nofile,slower,measures/in/original_05.mkv,6.6124,1170.67,75.86
baseline,BASELINE,nofile,veryslow,measures/in/original_05.mkv,14.0029,1123.99,39.04
baseline,BASELINE,nofile,placebo,measures/in/original_05.mkv,41.5741,1131.56,11.69
baseline,BASELINE,nofile,ultrafast,measures/in/original_02.mkv,0.4817,698.97,3023.66
baseline,BASELINE,nofile,superfast,measures/in/original_02.mkv,0.4395,511.41,1763.68
baseline,BASELINE,nofile,veryfast,measures/in/original_02.mkv,0.6380,262.90,1106.51
baseline,BASELINE,nofile,faster,measures/in/original_02.mkv,0.9688,309.50,711.17
baseline,BASELINE,nofile,fast,measures/in/original_02.mkv,1.3465,347.19,481.95
baseline,BASELINE,nofile,medium,measures/in/original_02.mkv,1.6457,318.83,400.36
baseline,BASELINE,nofile,slow,measures/in/original_02.mkv,2.4242,302.13,286.89
baseline,BASELINE,nofile,slower,measures/in/original_02.mkv,3.8017,307.46,168.07
baseline,BASELINE,nofile,veryslow,measures/in/original_02.mkv,8.0458,274.33,81.19
baseline,BASELINE,nofile,placebo,measures/in/original_02.mkv,23.3549,282.93,25.82
baseline,BASELINE,nofile,ultrafast,measures/in/original_06.mkv,0.2041,416.18,2349.49
