System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.2398,1879.26,1390.39
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4412,1882.26,594.68
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.7178,1185.49,336.01
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.8901,1195.93,250.30
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.4155,1178.70,177.84
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.6066,1179.18,135.50
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.9563,1195.73,75.85
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,3.7952,577.72,57.28
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,7.3753,796.79,27.97
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,21.7586,356.13,10.19
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.2649,1113.00,2973.35
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.3813,577.76,1946.31
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.4725,215.62,1430.16
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.6387,257.18,889.27
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.8812,285.09,667.71
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.1587,292.54,489.11
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.6809,294.94,308.49
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.6438,292.84,190.24
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,5.1105,275.76,111.68
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,20.7132,285.72,24.32
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.3139,1139.78,2863.43
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.4803,664.53,1651.28
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.6897,323.88,1046.36
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,1.0259,357.80,676.05
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.3058,381.23,511.24
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.5314,373.51,420.95
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.2172,369.05,280.00
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,4.0306,364.79,151.60
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,8.5562,344.72,71.73
baseline,BASELINE,nofile,placebo,measures/in/original_07.mkv,40.1514,354.53,14.99
baseline,BASELINE,nofile,ultrafast,measures/in/original_03.mkv,0.3231,3920.98,2079.85
baseline,BASELINE,nofile,superfast,measures/in/original_03.mkv,0.5935,2279.32,975.95
baseline,BASELINE,nofile,veryfast,measures/in/original_03.mkv,1.0884,2410.79,492.72
baseline,BASELINE,nofile,faster,measures/in/original_03.mkv,1.6877,2465.54,319.61
baseline,BASELINE,nofile,fast,measures/in/original_03.mkv,2.2593,2478.86,224.97
baseline,BASELINE,nofile,medium,measures/in/original_03.mkv,2.7932,2460.31,180.53
baseline,BASELINE,nofile,slow,measures/in/original_03.mkv,5.3240,2454.72,94.58
baseline,BASELINE,nofile,slower,measures/in/original_03.mkv,10.4559,2445.12,48.68
baseline,BASELINE,nofile,veryslow,measures/in/original_03.mkv,20.7798,2323.47,23.26
baseline,BASELINE,nofile,placebo,measures/in/original_03.mkv,60.5857,2326.55,8.12
baseline,BASELINE,nofile,ultrafast,measures/in/original_05.mkv,0.3171,2217.21,2271.82
baseline,BASELINE,nofile,superfast,measures/in/original_05.mkv,0.6140,1452.48,1039.84
baseline,BASELINE,nofile,veryfast,measures/in/original_05.mkv,1.0627,1178.82,535.33
baseline,BASELINE,nofile,faster,measures/in/original_05.mkv,1.4628,1221.03,386.02
baseline,BASELINE,nofile,fast,measures/in/original_05.mkv,1.8779,1239.66,286.65
baseline,BASELINE,nofile,medium,measures/in/original_05.mkv,2.3037,1197.77,231.28
baseline,BASELINE,nofile,slow,measures/in/original_05.mkv,3.5088,1186.29,146.93
baseline,BASELINE,nofile,slower,measures/in/original_05.mkv,6.3944,1170.67,79.04
baseline,BASELINE,nofile,veryslow,measures/in/original_05.mkv,14.6544,1123.99,40.45
baseline,BASELINE,nofile,placebo,measures/in/original_05.mkv,39.0355,1131.56,12.95
baseline,BASELINE,nofile,ultrafast,measures/in/original_02.mkv,0.2690,698.97,3210.26
baseline,BASELINE,nofile,superfast,measures/in/original_02.mkv,0.4385,511.41,1824.83
baseline,BASELINE,nofile,veryfast,measures/in/original_02.mkv,0.6437,262.90,1139.17
baseline,BASELINE,nofile,faster,measures/in/original_02.mkv,0.9412,309.50,732.84
baseline,BASELINE,nofile,fast,measures/in/original_02.mkv,1.2907,347.19,516.50
baseline,BASELINE,nofile,medium,measures/in/original_02.mkv,1.5737,318.83,406.15
baseline,BASELINE,nofile,slow,measures/in/original_02.mkv,2.2204,302.13,290.88
baseline,BASELINE,nofile,slower,measures/in/original_02.mkv,3.7649,307.46,169.78
baseline,BASELINE,nofile,veryslow,measures/in/original_02.mkv,7.7146,274.33,88.66
baseline,BASELINE,nofile,placebo,measures/in/original_02.mkv,23.3214,282.93,25.74
baseline,BASELINE,nofile,ultrafast,measures/in/original_06.mkv,0.1348,416.18,2209.58
baseline,BASELINE,nofile,superfast,measures/in/original_06.mkv,0.1426,140.00,1392.56
baseline,BASELINE,nofile,veryfast,measures/in/original_06.mkv,0.1508,50.17,1516.70
baseline,BASELINE,nofile,faster,measures/in/original_06.mkv,0.1917,71.18,1039.87
baseline,BASELINE,nofile,fast,measures/in/original_06.mkv,0.2457,80.21,733.99
baseline,BASELINE,nofile,medium,measures/in/original_06.mkv,0.2961,86.74,555.55
baseline,BASELINE,nofile,slow,measures/in/original_06.mkv,0.4366,87.63,371.29
baseline,BASELINE,nofile,slower,measures/in/original_06.mkv,0.4757,81.69,307.36
baseline,BASELINE,nofile,veryslow,measures/in/original_06.mkv,0.8781,69.89,163.34
baseline,BASELINE,nofile,placebo,measures/in/original_06.mkv,2.9609,71.20,41.40
baseline,BASELINE,nofile,ultrafast,measures/in/original_08.mkv,0.3727,3016.81,1749.78
baseline,BASELINE,nofile,superfast,measures/in/original_08.mkv,0.7092,1825.88,837.51
baseline,BASELINE,nofile,veryfast,measures/in/original_08.mkv,1.1355,1613.72,503.10
baseline,BASELINE,nofile,faster,measures/in/original_08.mkv,1.5528,1686.97,349.23
baseline,BASELINE,nofile,fast,measures/in/original_08.mkv,2.2637,1585.01,237.84
baseline,BASELINE,nofile,medium,measures/in/original_08.mkv,2.8559,1574.94,180.79
baseline,BASELINE,nofile,slow,measures/in/original_08.mkv,4.7261,1535.36,111.23
baseline,BASELINE,nofile,slower,measures/in/original_08.mkv,8.9305,1564.86,58.22
baseline,BASELINE,nofile,veryslow,measures/in/original_08.mkv,17.4908,1535.08,29.12
baseline,BASELINE,nofile,placebo,measures/in/original_08.mkv,74.2416,1485.87,6.76
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_01.mkv,0.2554,1879.26,1329.12
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_04.mkv,0.2979,1113.00,2629.58
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_07.mkv,0.3198,1139.78,2619.44
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_03.mkv,0.3068,3920.98,2104.74
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_05.mkv,0.3042,2217.21,2292.36
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_02.mkv,0.2672,698.97,3329.63
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_06.mkv,0.1402,416.18,2086.59
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_08.mkv,0.3449,3016.81,1927.56
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_01.mkv,0.6221,1000.18,448.90
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_04.mkv,0.4132,157.25,1480.61
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_07.mkv,0.6895,261.15,1101.01
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_03.mkv,1.0063,3030.37,519.12
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_05.mkv,0.9430,1154.41,609.95
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_02.mkv,0.5593,142.70,1325.06
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_06.mkv,0.1625,44.67,1629.08
specialized,"['CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO', 'MIXED_REFS_YES']",veryfast,veryfast,measures/in/original_08.mkv,0.9839,1716.46,556.56
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_01.mkv,0.2425,1879.26,1338.66
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_04.mkv,0.2958,1113.00,2744.99
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_07.mkv,0.3202,1139.78,2787.92
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_03.mkv,0.3211,3920.98,2193.70
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_05.mkv,0.3100,2217.21,2348.92
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_02.mkv,0.2605,698.97,3386.42
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_06.mkv,0.1203,416.18,2563.06
specialized,['MBTREE_YES'],mbtreeyes,ultrafast,measures/in/original_08.mkv,0.3819,3016.81,1861.39
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_01.mkv,0.4227,1882.26,617.62
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_04.mkv,0.3646,577.76,1905.55
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_07.mkv,0.4625,664.53,1643.50
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_03.mkv,0.5652,2279.32,992.09
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_05.mkv,0.5819,1452.48,1063.12
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_02.mkv,0.4186,511.41,1837.73
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_06.mkv,0.1461,140.00,1769.36
specialized,['MBTREE_YES'],mbtreeyes,superfast,measures/in/original_08.mkv,0.6642,1825.88,855.39
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_01.mkv,1.0940,1021.28,131.68
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_04.mkv,1.0683,157.49,616.27
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_07.mkv,1.3717,271.20,472.75
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_03.mkv,2.7335,3056.34,186.86
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_05.mkv,2.1668,1158.20,237.97
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_02.mkv,1.1724,167.45,561.44
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_06.mkv,0.2624,50.85,716.00
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",medium,medium,measures/in/original_08.mkv,2.5359,1567.52,206.70
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_01.mkv,5.2717,699.82,39.01
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_04.mkv,4.0858,141.07,123.69
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_07.mkv,7.5076,256.53,77.84
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_03.mkv,19.9179,2993.59,24.08
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_05.mkv,11.8828,1107.48,39.43
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_02.mkv,5.7535,157.07,100.85
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_06.mkv,0.8435,47.38,162.29
specialized,"['MIXED_REFS_NO', 'CABAC_NO', 'MBTREE_NO', 'WEIGHTB_NO', 'PSY_NO']",veryslow,veryslow,measures/in/original_08.mkv,17.1931,1591.20,29.82
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_01.mkv,0.4484,1882.26,576.67
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_04.mkv,0.3735,577.76,1857.41
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_07.mkv,0.4687,664.53,1710.75
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_03.mkv,0.5584,2279.32,905.47
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_05.mkv,0.6347,1452.48,956.60
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_02.mkv,0.4652,511.41,1813.88
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_06.mkv,0.1504,140.00,1730.13
specialized,['CABAC_NO'],cabacno,superfast,measures/in/original_08.mkv,0.6514,1825.88,865.75
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_01.mkv,0.7396,1185.49,326.24
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_04.mkv,0.4470,215.62,1413.90
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_07.mkv,0.6689,323.88,1042.65
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_03.mkv,1.0699,2410.79,494.43
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_05.mkv,1.0089,1178.82,558.36
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_02.mkv,0.6325,262.90,1136.03
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_06.mkv,0.1560,50.17,1572.10
specialized,['CABAC_NO'],cabacno,veryfast,measures/in/original_08.mkv,1.0620,1613.72,510.20
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_01.mkv,0.9343,1195.93,251.32
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_04.mkv,0.6355,257.18,903.67
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_07.mkv,0.9598,357.80,703.91
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_03.mkv,1.5679,2465.54,325.71
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_05.mkv,1.4036,1221.03,406.71
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_02.mkv,0.9009,309.50,730.04
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_06.mkv,0.2019,71.18,1049.69
specialized,['CABAC_NO'],cabacno,faster,measures/in/original_08.mkv,1.5755,1686.97,344.55
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_01.mkv,1.3922,1178.70,172.14
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_04.mkv,0.8414,285.09,673.71
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_07.mkv,1.2924,381.23,511.58
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_03.mkv,2.1665,2478.86,232.93
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_05.mkv,1.7845,1239.66,298.79
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_02.mkv,1.2744,347.19,513.40
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_06.mkv,0.2388,80.21,799.48
specialized,['CABAC_NO'],cabacno,fast,measures/in/original_08.mkv,2.2730,1585.01,230.99
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_01.mkv,1.6669,1179.18,130.68
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_04.mkv,1.1561,292.54,479.08
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_07.mkv,1.6105,373.51,389.97
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_03.mkv,3.0330,2460.31,167.58
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_05.mkv,2.3897,1197.77,222.67
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_02.mkv,1.5890,318.83,409.26
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_06.mkv,0.2913,86.74,607.99
specialized,['CABAC_NO'],cabacno,medium,measures/in/original_08.mkv,2.8060,1574.94,186.51
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_01.mkv,2.9413,1195.73,74.94
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_04.mkv,1.6248,294.94,331.45
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_07.mkv,2.1603,369.05,293.72
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_03.mkv,4.9529,2454.72,97.49
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_05.mkv,3.2891,1186.29,149.35
specialized,['CABAC_NO'],cabacno,slow,measures/in/original_02.mkv,2.1500,302.13,283.77
