System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.2119,1879.26,1436.18
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4840,1882.26,657.90
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.6913,1185.49,378.40
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.8034,1195.93,295.11
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.0542,1178.70,220.24
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.4591,1179.18,172.62
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.3204,1195.73,76.94
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,3.4668,577.72,62.36
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,6.9411,796.79,30.86
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,20.1822,356.13,10.42
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.2503,1113.00,2606.90
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.3467,577.76,1845.65
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.4553,215.62,1465.44
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.6023,257.18,926.45
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.8434,285.09,700.95
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.1599,292.54,499.05
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.6168,294.94,335.19
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.5234,292.84,215.20
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,4.6659,275.76,114.40
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,20.5198,285.72,24.43
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.2992,1139.78,2468.14
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.4613,664.53,1673.51
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.6617,323.88,1055.99
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,0.9821,357.80,701.05
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.2728,381.23,516.98
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.5273,373.51,432.01
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.1756,369.05,289.84
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,3.7815,364.79,151.11
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,7.9193,344.72,71.14
baseline,BASELINE,nofile,placebo,measures/in/original_07.mkv,38.6344,354.53,15.14
baseline,BASELINE,nofile,ultrafast,measures/in/original_03.mkv,0.3138,3920.98,2112.44
baseline,BASELINE,nofile,superfast,measures/in/original_03.mkv,0.6068,2279.32,971.88
baseline,BASELINE,nofile,veryfast,measures/in/original_03.mkv,1.0742,2410.79,509.88
baseline,BASELINE,nofile,faster,measures/in/original_03.mkv,1.5887,2465.54,325.18
baseline,BASELINE,nofile,fast,measures/in/original_03.mkv,2.2615,2478.86,226.29
baseline,BASELINE,nofile,medium,measures/in/original_03.mkv,2.7985,2460.31,180.66
baseline,BASELINE,nofile,slow,measures/in/original_03.mkv,5.3394,2454.72,94.14
baseline,BASELINE,nofile,slower,measures/in/original_03.mkv,10.8229,2445.12,46.54
baseline,BASELINE,nofile,veryslow,measures/in/original_03.mkv,19.4574,2323.47,23.72
baseline,BASELINE,nofile,placebo,measures/in/original_03.mkv,59.0577,2326.55,8.19
baseline,BASELINE,nofile,ultrafast,measures/in/original_05.mkv,0.3067,2217.21,2055.97
baseline,BASELINE,nofile,superfast,measures/in/original_05.mkv,0.5769,1452.48,1034.71
baseline,BASELINE,nofile,veryfast,measures/in/original_05.mkv,1.0627,1178.82,536.49
baseline,BASELINE,nofile,faster,measures/in/original_05.mkv,1.3976,1221.03,396.48
