System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.2468,1879.26,1326.92
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4656,1882.26,613.40
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.6981,1185.49,359.87
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.8272,1195.93,291.50
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.2421,1178.70,216.72
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.3204,1179.18,171.71
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.4154,1195.73,75.05
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,3.5459,577.72,61.59
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,7.0078,796.79,30.60
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,20.4025,356.13,10.28
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.2504,1113.00,2426.37
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.3608,577.76,1903.66
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.4570,215.62,1462.54
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.5840,257.18,915.72
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.8329,285.09,695.47
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.1082,292.54,507.89
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.6550,294.94,330.99
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.4406,292.84,214.66
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,4.7204,275.76,112.90
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,20.6535,285.72,24.29
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.3400,1139.78,2546.17
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.4661,664.53,1579.50
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.6441,323.88,964.22
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,0.9814,357.80,702.05
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.3104,381.23,515.39
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.5274,373.51,424.54
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.1744,369.05,290.78
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,4.0004,364.79,147.88
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,8.0348,344.72,75.79
