System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.2397,1879.26,1397.44
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4713,1882.26,620.07
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.6827,1185.49,368.49
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.8021,1195.93,305.41
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.1349,1178.70,221.57
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.2927,1179.18,174.32
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.2465,1195.73,77.02
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,3.4648,577.72,62.37
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,6.9081,796.79,31.20
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,19.9837,356.13,10.38
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.2474,1113.00,2719.49
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.3602,577.76,1886.89
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.4626,215.62,1479.04
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.5866,257.18,922.37
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.8353,285.09,702.27
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.0962,292.54,510.90
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.6327,294.94,334.03
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.4338,292.84,216.79
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,4.4925,275.76,113.07
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,20.3370,285.72,24.41
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.3187,1139.78,2799.26
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.4865,664.53,1625.26
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.6606,323.88,1094.61
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,0.9756,357.80,702.89
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.2825,381.23,520.32
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.5298,373.51,428.24
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.1859,369.05,292.97
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,3.7847,364.79,164.02
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,7.8320,344.72,77.66
baseline,BASELINE,nofile,placebo,measures/in/original_07.mkv,38.7092,354.53,15.52
baseline,BASELINE,nofile,ultrafast,measures/in/original_03.mkv,0.3123,3920.98,2221.99
baseline,BASELINE,nofile,superfast,measures/in/original_03.mkv,0.6067,2279.32,950.66
baseline,BASELINE,nofile,veryfast,measures/in/original_03.mkv,1.0596,2410.79,500.39
baseline,BASELINE,nofile,faster,measures/in/original_03.mkv,1.5881,2465.54,324.58
baseline,BASELINE,nofile,fast,measures/in/original_03.mkv,2.1947,2478.86,232.76
baseline,BASELINE,nofile,medium,measures/in/original_03.mkv,2.7365,2460.31,179.28
baseline,BASELINE,nofile,slow,measures/in/original_03.mkv,5.0171,2454.72,98.73
baseline,BASELINE,nofile,slower,measures/in/original_03.mkv,9.8521,2445.12,48.86
baseline,BASELINE,nofile,veryslow,measures/in/original_03.mkv,19.4034,2323.47,24.34
baseline,BASELINE,nofile,placebo,measures/in/original_03.mkv,58.2175,2326.55,8.01
baseline,BASELINE,nofile,ultrafast,measures/in/original_05.mkv,0.3130,2217.21,2235.40
baseline,BASELINE,nofile,superfast,measures/in/original_05.mkv,0.6023,1452.48,1024.82
baseline,BASELINE,nofile,veryfast,measures/in/original_05.mkv,1.0269,1178.82,544.16
baseline,BASELINE,nofile,faster,measures/in/original_05.mkv,1.3780,1221.03,395.26
baseline,BASELINE,nofile,fast,measures/in/original_05.mkv,1.8245,1239.66,295.02
baseline,BASELINE,nofile,medium,measures/in/original_05.mkv,2.2910,1197.77,231.36
