System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.4630,1879.26
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4814,1882.26
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.7012,1185.49
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.8367,1195.93
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.2466,1178.70
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.3406,1179.18
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.4192,1195.73
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,3.6135,577.72
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,7.2839,796.79
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,23.0517,356.13
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.5131,1113.00
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.3762,577.76
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.4666,215.62
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.6169,257.18
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.8643,285.09
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.1677,292.54
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.6854,294.94
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.5397,292.84
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,4.9002,275.76
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,21.1766,285.72
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.6193,1139.78
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.4915,664.53
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.6786,323.88
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,1.0058,357.80
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.3218,381.23
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.5767,373.51
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.2693,369.05
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,3.9226,364.79
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,8.1780,344.72
baseline,BASELINE,nofile,placebo,measures/in/original_07.mkv,40.6846,354.53
baseline,BASELINE,nofile,ultrafast,measures/in/original_03.mkv,0.5468,3920.98
baseline,BASELINE,nofile,superfast,measures/in/original_03.mkv,0.6256,2279.32
baseline,BASELINE,nofile,veryfast,measures/in/original_03.mkv,1.1465,2410.79
baseline,BASELINE,nofile,faster,measures/in/original_03.mkv,1.7220,2465.54
baseline,BASELINE,nofile,fast,measures/in/original_03.mkv,2.3501,2478.86
baseline,BASELINE,nofile,medium,measures/in/original_03.mkv,2.8789,2460.31
baseline,BASELINE,nofile,slow,measures/in/original_03.mkv,5.3093,2454.72
baseline,BASELINE,nofile,slower,measures/in/original_03.mkv,10.5537,2445.12
baseline,BASELINE,nofile,veryslow,measures/in/original_03.mkv,20.5835,2323.47
baseline,BASELINE,nofile,placebo,measures/in/original_03.mkv,62.5965,2326.55
baseline,BASELINE,nofile,ultrafast,measures/in/original_05.mkv,0.5383,2217.21
baseline,BASELINE,nofile,superfast,measures/in/original_05.mkv,0.5931,1452.48
baseline,BASELINE,nofile,veryfast,measures/in/original_05.mkv,1.0863,1178.82
baseline,BASELINE,nofile,faster,measures/in/original_05.mkv,1.4784,1221.03
baseline,BASELINE,nofile,fast,measures/in/original_05.mkv,1.9267,1239.66
baseline,BASELINE,nofile,medium,measures/in/original_05.mkv,2.3819,1197.77
baseline,BASELINE,nofile,slow,measures/in/original_05.mkv,3.5050,1186.29
baseline,BASELINE,nofile,slower,measures/in/original_05.mkv,6.4110,1170.67
baseline,BASELINE,nofile,veryslow,measures/in/original_05.mkv,13.7003,1123.99
baseline,BASELINE,nofile,placebo,measures/in/original_05.mkv,41.3599,1131.56
baseline,BASELINE,nofile,ultrafast,measures/in/original_02.mkv,0.4374,698.97
baseline,BASELINE,nofile,superfast,measures/in/original_02.mkv,0.4599,511.41
baseline,BASELINE,nofile,veryfast,measures/in/original_02.mkv,0.6312,262.90
baseline,BASELINE,nofile,faster,measures/in/original_02.mkv,0.9678,309.50
baseline,BASELINE,nofile,fast,measures/in/original_02.mkv,1.3219,347.19
baseline,BASELINE,nofile,medium,measures/in/original_02.mkv,1.5815,318.83
baseline,BASELINE,nofile,slow,measures/in/original_02.mkv,2.2053,302.13
baseline,BASELINE,nofile,slower,measures/in/original_02.mkv,3.7380,307.46
baseline,BASELINE,nofile,veryslow,measures/in/original_02.mkv,7.2022,274.33
baseline,BASELINE,nofile,placebo,measures/in/original_02.mkv,23.4678,282.93
baseline,BASELINE,nofile,ultrafast,measures/in/o1.mkv,0.4801,1746.47
baseline,BASELINE,nofile,superfast,measures/in/o1.mkv,0.6177,1393.69
baseline,BASELINE,nofile,veryfast,measures/in/o1.mkv,0.8893,1052.52
baseline,BASELINE,nofile,faster,measures/in/o1.mkv,1.0967,1060.35
baseline,BASELINE,nofile,fast,measures/in/o1.mkv,1.4454,1044.34
baseline,BASELINE,nofile,medium,measures/in/o1.mkv,1.8133,1044.98
baseline,BASELINE,nofile,slow,measures/in/o1.mkv,2.9858,1043.40
baseline,BASELINE,nofile,slower,measures/in/o1.mkv,3.4009,504.85
baseline,BASELINE,nofile,veryslow,measures/in/o1.mkv,7.5822,760.47
baseline,BASELINE,nofile,placebo,measures/in/o1.mkv,19.6488,351.33
baseline,BASELINE,nofile,ultrafast,measures/in/original_06.mkv,0.1967,416.18
baseline,BASELINE,nofile,superfast,measures/in/original_06.mkv,0.1511,140.00
