The original unique number of found gadgets is: 106878
The unique number of found gadgets when ['--disable-avs', '--disable-ffms', '--disable-gpac', '--disable-lsmash', '--enable-pic', '--disable-asm', '--enable-debug', '--disable-opencl', '--disable-bashcompletion', '--disable-interlaced', '--system-libx264', '--bit-depth=10', '--chroma-format=420'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-avs', '--enable-gprof', '--enable-strip', '--disable-gpl', '--enable-bashcompletion', '--disable-interlaced', '--bit-depth=8', '--chroma-format=422'] is removed: 60712. Or, 43.1950% less
The unique number of found gadgets when ['--disable-avs', '--disable-gpac', '--disable-lsmash', '--enable-gprof', '--enable-pic', '--enable-debug', '--disable-opencl', '--disable-thread', '--disable-win32thread', '--enable-bashcompletion', '--disable-interlaced', '--system-libx264', '--bit-depth=all', '--chroma-format=420'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-avs', '--disable-lavf', '--disable-ffms', '--enable-gprof', '--enable-strip', '--disable-asm', '--enable-debug', '--disable-gpl', '--disable-thread', '--enable-bashcompletion', '--disable-interlaced', '--bit-depth=8', '--chroma-format=all'] is removed: 44841. Or, 58.0447% less
The unique number of found gadgets when ['--disable-avs', '--disable-lsmash', '--enable-lto', '--disable-opencl', '--disable-thread', '--disable-win32thread', '--enable-bashcompletion', '--bit-depth=8', '--chroma-format=422'] is removed: 45728. Or, 57.2148% less
The unique number of found gadgets when ['--disable-lavf', '--disable-lsmash', '--enable-gprof', '--enable-strip', '--enable-debug', '--disable-gpl', '--disable-thread', '--disable-win32thread', '--disable-interlaced', '--bit-depth=10', '--chroma-format=400'] is removed: 31323. Or, 70.6928% less
The unique number of found gadgets when ['--disable-avs', '--disable-swscale', '--disable-lavf', '--disable-ffms', '--disable-lsmash', '--disable-asm', '--disable-thread', '--enable-bashcompletion', '--disable-interlaced', '--bit-depth=8', '--chroma-format=444'] is removed: 33425. Or, 68.7260% less
The unique number of found gadgets when ['--disable-avs', '--disable-swscale', '--disable-lavf', '--disable-ffms', '--disable-gpac', '--disable-lsmash', '--enable-gprof', '--enable-pic', '--disable-asm', '--disable-gpl', '--disable-thread', '--disable-win32thread', '--disable-bashcompletion', '--system-libx264', '--bit-depth=all', '--chroma-format=420'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-avs', '--disable-gpac', '--disable-lsmash', '--enable-pic', '--disable-asm', '--disable-gpl', '--disable-thread', '--disable-bashcompletion', '--disable-interlaced', '--system-libx264', '--bit-depth=8', '--chroma-format=420'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-lsmash', '--enable-gprof', '--enable-strip', '--enable-pic', '--disable-asm', '--disable-gpl', '--system-libx264', '--bit-depth=all', '--chroma-format=all'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-swscale', '--disable-lavf', '--disable-ffms', '--disable-gpac', '--disable-lsmash', '--enable-strip', '--enable-pic', '--disable-asm', '--enable-lto', '--disable-opencl', '--disable-win32thread', '--enable-bashcompletion', '--disable-interlaced', '--bit-depth=10', '--chroma-format=420'] is removed: 33069. Or, 69.0591% less
The unique number of found gadgets when ['--disable-avs', '--disable-ffms', '--enable-pic', '--disable-asm', '--enable-lto', '--disable-thread', '--disable-win32thread', '--disable-bashcompletion', '--bit-depth=8', '--chroma-format=444'] is removed: 54298. Or, 49.1963% less
The unique number of found gadgets when ['--disable-ffms', '--disable-lsmash', '--enable-strip', '--enable-pic', '--disable-asm', '--disable-opencl', '--disable-gpl', '--enable-bashcompletion', '--disable-interlaced', '--system-libx264', '--chroma-format=422'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-ffms', '--disable-lsmash', '--enable-pic', '--disable-asm', '--disable-opencl', '--disable-win32thread', '--enable-bashcompletion', '--disable-interlaced', '--bit-depth=10', '--chroma-format=420'] is removed: 32727. Or, 69.3791% less
The unique number of found gadgets when ['--disable-avs', '--disable-swscale', '--disable-lavf', '--disable-ffms', '--disable-gpac', '--disable-lsmash', '--enable-gprof', '--enable-strip', '--enable-pic', '--disable-asm', '--enable-lto', '--disable-win32thread', '--enable-bashcompletion', '--disable-interlaced', '--system-libx264', '--bit-depth=8', '--chroma-format=444'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-avs', '--disable-lavf', '--disable-ffms', '--disable-gpac', '--enable-pic', '--enable-debug', '--disable-thread', '--disable-win32thread', '--disable-interlaced', '--system-libx264', '--bit-depth=8'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-avs', '--disable-lavf', '--disable-gpac', '--enable-strip', '--enable-pic', '--disable-asm', '--enable-lto', '--disable-win32thread', '--enable-bashcompletion', '--system-libx264', '--bit-depth=8', '--chroma-format=420'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-avs', '--disable-ffms', '--disable-gpac', '--disable-lsmash', '--enable-gprof', '--enable-strip', '--enable-pic', '--disable-gpl', '--disable-win32thread', '--enable-bashcompletion', '--bit-depth=all', '--chroma-format=400'] is removed: 75143. Or, 29.6927% less
The unique number of found gadgets when ['--disable-ffms', '--disable-gpac', '--disable-asm', '--disable-thread', '--disable-win32thread', '--bit-depth=8', '--chroma-format=422'] is removed: 52026. Or, 51.3221% less
The unique number of found gadgets when ['--disable-lavf', '--disable-ffms', '--disable-lsmash', '--enable-gprof', '--enable-strip', '--enable-pic', '--enable-lto', '--disable-thread', '--disable-bashcompletion', '--disable-interlaced', '--system-libx264', '--bit-depth=8', '--chroma-format=420'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-avs', '--disable-ffms', '--enable-gprof', '--enable-strip', '--enable-pic', '--disable-asm', '--enable-debug', '--disable-opencl', '--disable-gpl', '--disable-thread', '--enable-bashcompletion', '--disable-interlaced', '--chroma-format=400'] is removed: 57687. Or, 46.0254% less
The unique number of found gadgets when ['--disable-avs', '--disable-lavf', '--disable-gpac', '--disable-lsmash', '--enable-gprof', '--enable-strip', '--enable-pic', '--disable-asm', '--disable-gpl', '--disable-thread', '--bit-depth=10', '--chroma-format=444'] is removed: 31909. Or, 70.1445% less
The unique number of found gadgets when ['--disable-lavf', '--disable-ffms', '--disable-lsmash', '--enable-gprof', '--enable-strip', '--enable-pic', '--enable-debug', '--disable-opencl', '--disable-thread', '--enable-bashcompletion', '--system-libx264', '--bit-depth=10', '--chroma-format=444'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-swscale', '--disable-lavf', '--disable-ffms', '--enable-gprof', '--disable-asm', '--enable-debug', '--enable-bashcompletion', '--bit-depth=10', '--chroma-format=400'] is removed: 41512. Or, 61.1595% less
The unique number of found gadgets when ['--disable-ffms', '--enable-gprof', '--disable-asm', '--enable-bashcompletion', '--bit-depth=8', '--chroma-format=400'] is removed: 48945. Or, 54.2048% less
The unique number of found gadgets when ['--disable-swscale', '--disable-lavf', '--disable-ffms', '--disable-lsmash', '--enable-strip', '--enable-pic', '--disable-asm', '--enable-debug', '--disable-opencl', '--disable-gpl', '--disable-thread', '--disable-win32thread', '--system-libx264', '--bit-depth=all', '--chroma-format=400'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-lsmash', '--enable-strip', '--enable-pic', '--disable-asm', '--enable-lto', '--disable-opencl', '--system-libx264', '--bit-depth=all', '--chroma-format=444'] is removed: 106878. Or, 0.0000%
The unique number of found gadgets when ['--disable-avs', '--disable-gpac', '--enable-gprof', '--disable-asm', '--enable-debug', '--disable-opencl', '--disable-thread', '--disable-win32thread', '--disable-bashcompletion', '--bit-depth=8', '--chroma-format=420'] is removed: 41797. Or, 60.8928% less
The unique number of found gadgets when ['--disable-ffms', '--enable-strip', '--enable-pic', '--enable-debug', '--disable-opencl', '--disable-thread', '--disable-win32thread', '--disable-bashcompletion', '--system-libx264', '--bit-depth=10', '--chroma-format=all'] is removed: 106878. Or, 0.0000%
