System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.5027,1879.26,1681.21
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4259,1882.26,625.26
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.7125,1185.49,346.63
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.8265,1195.93,298.07
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.2655,1178.70,206.37
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.4434,1179.18,141.40
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.9401,1195.73,76.78
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,3.5820,577.72,60.33
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,7.8133,796.79,27.04
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,21.5262,356.13,10.39
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.4875,1113.00,3117.29
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.3573,577.76,1853.66
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.4565,215.62,1521.44
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.5946,257.18,929.83
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.8395,285.09,697.27
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.1023,292.54,510.88
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.6342,294.94,332.36
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.4393,292.84,216.57
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,4.7357,275.76,112.82
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,20.5451,285.72,23.86
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.5321,1139.78,2927.90
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.4497,664.53,1641.25
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.6554,323.88,1065.92
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,0.9767,357.80,705.69
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.2712,381.23,525.25
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.5110,373.51,427.06
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.1854,369.05,293.68
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,3.7579,364.79,165.85
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,7.8626,344.72,74.93
baseline,BASELINE,nofile,placebo,measures/in/original_07.mkv,38.6691,354.53,15.40
baseline,BASELINE,nofile,ultrafast,measures/in/copy_01.mkv,0.4983,1739.17,554.48
baseline,BASELINE,nofile,superfast,measures/in/copy_01.mkv,0.6107,1612.90,352.89
baseline,BASELINE,nofile,veryfast,measures/in/copy_01.mkv,0.8818,1145.05,296.78
baseline,BASELINE,nofile,faster,measures/in/copy_01.mkv,1.0255,1152.17,233.36
baseline,BASELINE,nofile,fast,measures/in/copy_01.mkv,1.3850,1133.51,168.43
baseline,BASELINE,nofile,medium,measures/in/copy_01.mkv,1.7727,1133.96,130.77
baseline,BASELINE,nofile,slow,measures/in/copy_01.mkv,3.0930,1132.56,75.46
baseline,BASELINE,nofile,slower,measures/in/copy_01.mkv,3.6209,578.96,57.04
baseline,BASELINE,nofile,veryslow,measures/in/copy_01.mkv,7.2505,809.24,27.78
baseline,BASELINE,nofile,placebo,measures/in/copy_01.mkv,20.1157,389.41,10.47
baseline,BASELINE,nofile,ultrafast,measures/in/original_03.mkv,0.4871,3920.98,2187.70
baseline,BASELINE,nofile,superfast,measures/in/original_03.mkv,0.6053,2279.32,815.38
baseline,BASELINE,nofile,veryfast,measures/in/original_03.mkv,1.0849,2410.79,494.10
baseline,BASELINE,nofile,faster,measures/in/original_03.mkv,1.6189,2465.54,322.29
baseline,BASELINE,nofile,fast,measures/in/original_03.mkv,2.1719,2478.86,233.01
baseline,BASELINE,nofile,medium,measures/in/original_03.mkv,2.7971,2460.31,179.37
baseline,BASELINE,nofile,slow,measures/in/original_03.mkv,5.0543,2454.72,99.89
baseline,BASELINE,nofile,slower,measures/in/original_03.mkv,9.8995,2445.12,45.07
baseline,BASELINE,nofile,veryslow,measures/in/original_03.mkv,19.6802,2323.47,24.56
baseline,BASELINE,nofile,placebo,measures/in/original_03.mkv,59.0225,2326.55,8.01
baseline,BASELINE,nofile,ultrafast,measures/in/original_05.mkv,0.4984,2217.21,2384.55
baseline,BASELINE,nofile,superfast,measures/in/original_05.mkv,0.5544,1452.48,1056.10
baseline,BASELINE,nofile,veryfast,measures/in/original_05.mkv,1.0083,1178.82,554.53
baseline,BASELINE,nofile,faster,measures/in/original_05.mkv,1.3836,1221.03,400.09
baseline,BASELINE,nofile,fast,measures/in/original_05.mkv,1.8175,1239.66,282.38
baseline,BASELINE,nofile,medium,measures/in/original_05.mkv,2.3992,1197.77,219.87
baseline,BASELINE,nofile,slow,measures/in/original_05.mkv,3.5792,1186.29,149.37
baseline,BASELINE,nofile,slower,measures/in/original_05.mkv,6.3219,1170.67,76.64
baseline,BASELINE,nofile,veryslow,measures/in/original_05.mkv,12.3504,1123.99,41.18
baseline,BASELINE,nofile,placebo,measures/in/original_05.mkv,39.8463,1131.56,12.63
baseline,BASELINE,nofile,ultrafast,measures/in/original_02.mkv,0.4068,698.97,3355.44
baseline,BASELINE,nofile,superfast,measures/in/original_02.mkv,0.4297,511.41,1845.19
baseline,BASELINE,nofile,veryfast,measures/in/original_02.mkv,0.6359,262.90,1138.76
baseline,BASELINE,nofile,faster,measures/in/original_02.mkv,0.9320,309.50,706.31
baseline,BASELINE,nofile,fast,measures/in/original_02.mkv,1.3239,347.19,517.95
baseline,BASELINE,nofile,medium,measures/in/original_02.mkv,1.5382,318.83,424.07
baseline,BASELINE,nofile,slow,measures/in/original_02.mkv,2.1347,302.13,285.81
baseline,BASELINE,nofile,slower,measures/in/original_02.mkv,3.6963,307.46,166.31
baseline,BASELINE,nofile,veryslow,measures/in/original_02.mkv,7.2696,274.33,83.25
baseline,BASELINE,nofile,placebo,measures/in/original_02.mkv,23.0404,282.93,26.93
baseline,BASELINE,nofile,ultrafast,measures/in/o1.mkv,0.4623,1746.47,567.26
baseline,BASELINE,nofile,superfast,measures/in/o1.mkv,0.5652,1393.69,418.95
baseline,BASELINE,nofile,veryfast,measures/in/o1.mkv,0.8787,1052.52,279.02
baseline,BASELINE,nofile,faster,measures/in/o1.mkv,1.0805,1060.35,223.80
baseline,BASELINE,nofile,fast,measures/in/o1.mkv,1.4215,1044.34,166.08
baseline,BASELINE,nofile,medium,measures/in/o1.mkv,1.7884,1044.98,138.22
baseline,BASELINE,nofile,slow,measures/in/o1.mkv,2.7676,1043.40,79.56
baseline,BASELINE,nofile,slower,measures/in/o1.mkv,3.3610,504.85,64.41
baseline,BASELINE,nofile,veryslow,measures/in/o1.mkv,6.4896,760.47,31.80
baseline,BASELINE,nofile,placebo,measures/in/o1.mkv,18.6017,351.33,11.15
baseline,BASELINE,nofile,ultrafast,measures/in/original_06.mkv,0.1862,416.18,2413.52
baseline,BASELINE,nofile,superfast,measures/in/original_06.mkv,0.1656,140.00,1670.56
baseline,BASELINE,nofile,veryfast,measures/in/original_06.mkv,0.1547,50.17,1495.01
baseline,BASELINE,nofile,faster,measures/in/original_06.mkv,0.2174,71.18,1019.35
baseline,BASELINE,nofile,fast,measures/in/original_06.mkv,0.2541,80.21,781.37
baseline,BASELINE,nofile,medium,measures/in/original_06.mkv,0.2794,86.74,612.05
baseline,BASELINE,nofile,slow,measures/in/original_06.mkv,0.4045,87.63,403.24
baseline,BASELINE,nofile,slower,measures/in/original_06.mkv,0.4865,81.69,299.17
baseline,BASELINE,nofile,veryslow,measures/in/original_06.mkv,0.9027,69.89,154.98
baseline,BASELINE,nofile,placebo,measures/in/original_06.mkv,3.1900,71.20,39.05
baseline,BASELINE,nofile,ultrafast,measures/in/original_08.mkv,0.6231,3016.81,1757.28
baseline,BASELINE,nofile,superfast,measures/in/original_08.mkv,0.7451,1825.88,807.23
baseline,BASELINE,nofile,veryfast,measures/in/original_08.mkv,1.1796,1613.72,481.71
baseline,BASELINE,nofile,faster,measures/in/original_08.mkv,1.6420,1686.97,337.96
baseline,BASELINE,nofile,fast,measures/in/original_08.mkv,2.3686,1585.01,240.89
baseline,BASELINE,nofile,medium,measures/in/original_08.mkv,2.7272,1574.94,187.41
baseline,BASELINE,nofile,slow,measures/in/original_08.mkv,4.5661,1535.36,114.40
baseline,BASELINE,nofile,slower,measures/in/original_08.mkv,8.5823,1564.86,58.17
baseline,BASELINE,nofile,veryslow,measures/in/original_08.mkv,16.8482,1535.08,29.62
baseline,BASELINE,nofile,placebo,measures/in/original_08.mkv,73.2539,1485.87,6.71
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_01.mkv,0.2540,1879.26,1437.26
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_04.mkv,0.2753,1113.00,2654.65
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_07.mkv,0.3338,1139.78,2683.56
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/copy_01.mkv,0.4761,1739.17,518.38
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_03.mkv,0.3084,3920.98,2098.91
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_05.mkv,0.3313,2217.21,2197.89
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_02.mkv,0.2851,698.97,3295.63
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/o1.mkv,0.4691,1746.47,582.44
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_06.mkv,0.1279,416.18,2451.23
specialized,"['PSY_NO', 'MIXED_REFS_YES', 'CABAC_YES', 'MBTREE_YES', 'WEIGHTB_YES']",ultrafast,ultrafast,measures/in/original_08.mkv,0.3603,3016.81,1760.79
