System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/o1.mkv,0.5288,1746.47,501.56
baseline,BASELINE,nofile,superfast,measures/in/o1.mkv,0.6720,1393.69,366.25
baseline,BASELINE,nofile,veryfast,measures/in/o1.mkv,1.0774,1052.52,241.61
baseline,BASELINE,nofile,faster,measures/in/o1.mkv,1.2678,1060.35,191.05
baseline,BASELINE,nofile,fast,measures/in/o1.mkv,1.6241,1044.34,143.93
baseline,BASELINE,nofile,medium,measures/in/o1.mkv,1.9939,1044.98,114.59
baseline,BASELINE,nofile,slow,measures/in/o1.mkv,3.3053,1043.40,61.85
baseline,BASELINE,nofile,slower,measures/in/o1.mkv,4.1150,504.85,54.69
baseline,BASELINE,nofile,veryslow,measures/in/o1.mkv,8.2234,760.47,26.69
baseline,BASELINE,nofile,placebo,measures/in/o1.mkv,23.8715,351.33,8.85
baseline,BASELINE,nofile,ultrafast,measures/in/original_06.mkv,0.2186,416.18,1467.10
baseline,BASELINE,nofile,superfast,measures/in/original_06.mkv,0.2124,140.00,1319.38
baseline,BASELINE,nofile,veryfast,measures/in/original_06.mkv,0.2003,50.17,1135.13
baseline,BASELINE,nofile,faster,measures/in/original_06.mkv,0.2379,71.18,757.84
baseline,BASELINE,nofile,fast,measures/in/original_06.mkv,0.2793,80.21,658.13
baseline,BASELINE,nofile,medium,measures/in/original_06.mkv,0.3260,86.74,489.26
baseline,BASELINE,nofile,slow,measures/in/original_06.mkv,0.5369,87.63,290.67
baseline,BASELINE,nofile,slower,measures/in/original_06.mkv,0.6426,81.69,229.41
baseline,BASELINE,nofile,veryslow,measures/in/original_06.mkv,1.0353,69.89,126.83
baseline,BASELINE,nofile,placebo,measures/in/original_06.mkv,3.7228,71.20,33.00
baseline,BASELINE,nofile,ultrafast,measures/in/original_08.mkv,0.8252,3016.81,1301.61
baseline,BASELINE,nofile,superfast,measures/in/original_08.mkv,0.9838,1825.88,624.99
baseline,BASELINE,nofile,veryfast,measures/in/original_08.mkv,1.5815,1613.72,348.10
baseline,BASELINE,nofile,faster,measures/in/original_08.mkv,1.9654,1686.97,275.12
baseline,BASELINE,nofile,fast,measures/in/original_08.mkv,2.7454,1585.01,188.86
baseline,BASELINE,nofile,medium,measures/in/original_08.mkv,3.4124,1574.94,173.57
baseline,BASELINE,nofile,slow,measures/in/original_08.mkv,5.3403,1535.36,101.54
baseline,BASELINE,nofile,slower,measures/in/original_08.mkv,9.6091,1564.86,53.66
baseline,BASELINE,nofile,veryslow,measures/in/original_08.mkv,18.0401,1535.08,27.18
baseline,BASELINE,nofile,placebo,measures/in/original_08.mkv,79.3891,1485.87,6.31
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_01.mkv,0.4296,1879.26,1219.01
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_04.mkv,0.5991,1113.00,2079.63
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_07.mkv,0.6084,1139.78,2473.34
specialized,['PSY_NO'],psyno,ultrafast,measures/in/copy_01.mkv,0.5341,1739.17,520.88
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_03.mkv,0.5461,3920.98,1935.81
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_05.mkv,0.5735,2217.21,2137.44
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_02.mkv,0.5254,698.97,2995.66
specialized,['PSY_NO'],psyno,ultrafast,measures/in/o1.mkv,0.5351,1746.47,562.56
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_06.mkv,0.1738,416.18,2116.22
specialized,['PSY_NO'],psyno,ultrafast,measures/in/original_08.mkv,0.4737,3016.81,1717.32
specialized,['PSY_NO'],psyno,fast,measures/in/original_01.mkv,1.1995,1178.70,190.59
specialized,['PSY_NO'],psyno,fast,measures/in/original_04.mkv,0.8073,285.09,648.84
specialized,['PSY_NO'],psyno,fast,measures/in/original_07.mkv,1.3446,381.23,490.22
specialized,['PSY_NO'],psyno,fast,measures/in/copy_01.mkv,1.4347,1133.51,158.60
specialized,['PSY_NO'],psyno,fast,measures/in/original_03.mkv,2.2797,2478.86,220.81
specialized,['PSY_NO'],psyno,fast,measures/in/original_05.mkv,1.8859,1239.66,282.20
specialized,['PSY_NO'],psyno,fast,measures/in/original_02.mkv,1.3154,347.19,498.69
specialized,['PSY_NO'],psyno,fast,measures/in/o1.mkv,1.3520,1044.34,165.59
specialized,['PSY_NO'],psyno,fast,measures/in/original_06.mkv,0.2644,80.21,733.59
specialized,['PSY_NO'],psyno,fast,measures/in/original_08.mkv,2.3538,1585.01,227.10
