System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate
specialized,psyno,['PSY_NO'],ultrafast,measures/in/original_01.mkv,0.4722,1879.26
specialized,psyno,['PSY_NO'],fast,measures/in/original_01.mkv,1.3818,1178.70
specialized,psyno,['PSY_NO'],ultrafast,measures/in/original_04.mkv,0.4752,1113.00
specialized,psyno,['PSY_NO'],fast,measures/in/original_04.mkv,0.7213,285.09
specialized,psyno,['PSY_NO'],ultrafast,measures/in/original_07.mkv,0.5486,1139.78
specialized,psyno,['PSY_NO'],fast,measures/in/original_07.mkv,1.1145,381.23
specialized,psyno,['PSY_NO'],ultrafast,measures/in/original_03.mkv,0.4990,3920.98
specialized,psyno,['PSY_NO'],fast,measures/in/original_03.mkv,1.9235,2478.86
specialized,psyno,['PSY_NO'],ultrafast,measures/in/original_05.mkv,0.5229,2217.21
specialized,psyno,['PSY_NO'],fast,measures/in/original_05.mkv,1.7663,1239.66
specialized,psyno,['PSY_NO'],ultrafast,measures/in/original_02.mkv,0.4567,698.97
specialized,psyno,['PSY_NO'],fast,measures/in/original_02.mkv,1.2977,347.19
specialized,psyno,['PSY_NO'],ultrafast,measures/in/o1.mkv,0.5021,1746.47
specialized,psyno,['PSY_NO'],fast,measures/in/o1.mkv,1.3217,1044.34
specialized,psyno,['PSY_NO'],ultrafast,measures/in/original_06.mkv,0.1831,416.18
specialized,psyno,['PSY_NO'],fast,measures/in/original_06.mkv,0.2371,80.21
specialized,psyno,['PSY_NO'],ultrafast,measures/in/original_08.mkv,0.6311,3016.81
specialized,psyno,['PSY_NO'],fast,measures/in/original_08.mkv,2.2840,1585.01
