System,Option,FromFile,Preset,Video,EncodingTime,EncodingBitrate,FPS
baseline,BASELINE,nofile,ultrafast,measures/in/original_01.mkv,0.2478,1879.26,1603.23
baseline,BASELINE,nofile,superfast,measures/in/original_01.mkv,0.4493,1882.26,583.60
baseline,BASELINE,nofile,veryfast,measures/in/original_01.mkv,0.7723,1185.49,339.09
baseline,BASELINE,nofile,faster,measures/in/original_01.mkv,0.8996,1195.93,287.16
baseline,BASELINE,nofile,fast,measures/in/original_01.mkv,1.3594,1178.70,208.88
baseline,BASELINE,nofile,medium,measures/in/original_01.mkv,1.4178,1179.18,154.96
baseline,BASELINE,nofile,slow,measures/in/original_01.mkv,2.5584,1195.73,70.77
baseline,BASELINE,nofile,slower,measures/in/original_01.mkv,3.5021,577.72,62.02
baseline,BASELINE,nofile,veryslow,measures/in/original_01.mkv,7.1415,796.79,30.31
baseline,BASELINE,nofile,placebo,measures/in/original_01.mkv,20.3802,356.13,10.32
baseline,BASELINE,nofile,ultrafast,measures/in/original_04.mkv,0.2461,1113.00,2282.03
baseline,BASELINE,nofile,superfast,measures/in/original_04.mkv,0.3658,577.76,1883.29
baseline,BASELINE,nofile,veryfast,measures/in/original_04.mkv,0.4657,215.62,1470.79
baseline,BASELINE,nofile,faster,measures/in/original_04.mkv,0.6135,257.18,907.44
baseline,BASELINE,nofile,fast,measures/in/original_04.mkv,0.8403,285.09,699.49
baseline,BASELINE,nofile,medium,measures/in/original_04.mkv,1.1417,292.54,507.50
baseline,BASELINE,nofile,slow,measures/in/original_04.mkv,1.6201,294.94,333.83
baseline,BASELINE,nofile,slower,measures/in/original_04.mkv,2.4444,292.84,207.76
baseline,BASELINE,nofile,veryslow,measures/in/original_04.mkv,4.6518,275.76,113.48
baseline,BASELINE,nofile,placebo,measures/in/original_04.mkv,20.7683,285.72,23.55
baseline,BASELINE,nofile,ultrafast,measures/in/original_07.mkv,0.4130,1139.78,2787.96
baseline,BASELINE,nofile,superfast,measures/in/original_07.mkv,0.4413,664.53,1637.60
baseline,BASELINE,nofile,veryfast,measures/in/original_07.mkv,0.6665,323.88,1059.36
baseline,BASELINE,nofile,faster,measures/in/original_07.mkv,1.0155,357.80,693.90
baseline,BASELINE,nofile,fast,measures/in/original_07.mkv,1.2821,381.23,515.61
baseline,BASELINE,nofile,medium,measures/in/original_07.mkv,1.5197,373.51,422.54
baseline,BASELINE,nofile,slow,measures/in/original_07.mkv,2.1731,369.05,291.67
baseline,BASELINE,nofile,slower,measures/in/original_07.mkv,3.7757,364.79,154.11
baseline,BASELINE,nofile,veryslow,measures/in/original_07.mkv,8.2868,344.72,75.77
baseline,BASELINE,nofile,placebo,measures/in/original_07.mkv,38.8575,354.53,15.37
baseline,BASELINE,nofile,ultrafast,measures/in/original_03.mkv,0.3433,3920.98,2081.72
baseline,BASELINE,nofile,superfast,measures/in/original_03.mkv,0.6004,2279.32,942.19
baseline,BASELINE,nofile,veryfast,measures/in/original_03.mkv,1.0924,2410.79,497.74
baseline,BASELINE,nofile,faster,measures/in/original_03.mkv,1.6775,2465.54,323.12
baseline,BASELINE,nofile,fast,measures/in/original_03.mkv,2.1870,2478.86,230.64
baseline,BASELINE,nofile,medium,measures/in/original_03.mkv,2.7609,2460.31,183.29
baseline,BASELINE,nofile,slow,measures/in/original_03.mkv,5.1436,2454.72,96.94
baseline,BASELINE,nofile,slower,measures/in/original_03.mkv,9.9918,2445.12,48.20
